id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label,Q4
411315,3,5,"Week day lunch,Late night snack",6,Borat,coke,"Friends,Teachers",A lot (hot),Shawarma,6.0
631507,4,7,"Week day lunch,Weekend lunch",At most 10 dollars,The Avengers (2012),Soda,Friends,A little (mild),Shawarma,10.0
627798,4,10,"Week day lunch,Weekend lunch",$10 ,The Avengers,Sprite,"Friends,Strangers",,Shawarma,10.0
712093,3,7,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",10$,Harold and Kumar,Coca Cola,"Parents,Friends",A moderate amount (medium),Shawarma,10.0
627488,2,12,"Week day lunch,Weekend lunch",$10 ,Gossip Girl,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma,10.0
626493,2,7,"Week day lunch,Weekend lunch,Late night snack",10,The Avengers,Apple Juice,"Friends,Strangers",A moderate amount (medium),Shawarma,10.0
601363,4,10-12,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$8-$15,Monty Python,Ayran,"Siblings,Friends,Strangers",A lot (hot),Shawarma,11.5
712898,3,9,"Week day lunch,Week day dinner,Weekend lunch",7,The Avengers,Nestea,Friends,A little (mild),Shawarma,7.0
603398,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",7 - 10 CAD,Avengers,Lemon Mint Juice,"Parents,Siblings",A moderate amount (medium),Shawarma,8.5
631012,3,11,"Week day lunch,Weekend dinner",11,Khabi Khushi Khabi Gham,Diet Coke,"Siblings,Friends",A moderate amount (medium),Shawarma,11.0
601848,2,5,Week day lunch,$9 ,Mission: Impossible – Dead Reckoning Part One,Iced lemon tea,Strangers,,Shawarma,9.0
612131,2,7,"Week day lunch,Weekend lunch",$2 ,Avengers Endgame,Mineral water,Friends,A moderate amount (medium),Shawarma,2.0
408630,2,3,"Week day lunch,Weekend lunch,Late night snack",10 dollars,3 Idiots,water,Friends,A little (mild),Shawarma,10.0
632091,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12-14$ per wrap.,no movie,a can of soda,"Siblings,Friends",A lot (hot),Shawarma,13.0
601122,4,12,"Week day lunch,Weekend lunch,Late night snack",10,The Avengers,Coke,"Parents,Friends",A moderate amount (medium),Shawarma,10.0
602871,3,3,Week day lunch,6 cad,The Avengers,Coke,Friends,,Shawarma,6.0
520828,4,4,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",10,The Avengers,Water,Friends,A moderate amount (medium),Shawarma,10.0
514199,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",7,,Water,"Teachers,Strangers",A little (mild),Shawarma,7.0
389697,2,10,"Week day lunch,Weekend lunch",8,,"Water

Fruit juice/smoothie

Sparkling water

Soft drinks",Friends,A little (mild),Shawarma,8.0
714430,3,10,Week day dinner,15 dollars,spiderman,orange juice,Parents,A little (mild),Shawarma,15.0
612567,2,4,Week day lunch,$6 ,Dune,Juice,Strangers,,Shawarma,6.0
744468,3,5,"Week day lunch,Week day dinner,Weekend lunch",$5 ,Avengers,Orange Fanta,"Parents,Siblings",,Shawarma,5.0
502722,2,"Can vary on how much vegetables and sauces you want, but maybe 7-8 ingredients not including spices.","Week day lunch,Weekend lunch",In Toronto around $7-8 per shawarma.,Advengers 2012 Movie,Water or sprite,"Siblings,Friends",A moderate amount (medium),Shawarma,7.5
519681,4,20,"Week day lunch,Weekend lunch",10,Parasite,Diet Coke,Strangers,A moderate amount (medium),Shawarma,10.0
631125,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Coke,Parents,A moderate amount (medium),Shawarma,10.0
606119,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13 ,Borat,Coke,"Friends,Strangers",A little (mild),Shawarma,13.0
627252,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,None come to mind,Water,"Friends,Strangers",A moderate amount (medium),Shawarma,8.0
616568,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15 dollars,i dont know,soda,Friends,A moderate amount (medium),Shawarma,15.0
603838,3,10,"Week day lunch,Week day dinner",6,The Avengers,Lemonade,Friends,A little (mild),Shawarma,6.0
719735,5,"1. Pita wrap

2. Meat 

3. Lettuce

4. Tomato

5. Onions

6. Sauce

 ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,,Water,"Friends,Teachers,Strangers",A lot (hot),Shawarma,10.0
608062,3,7,Week day lunch,$12 ,Batman the dark knight ,Mango juice,Friends,A moderate amount (medium),Shawarma,12.0
608704,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Coke,Friends,A lot (hot),Shawarma,10.0
520383,3,"A variable number of ingredients, maybe around 6?","Week day lunch,Week day dinner,Weekend lunch",$11 ,I don't think of a movie when thinking of this food item,Water,"Friends,Strangers",A lot (hot),Shawarma,11.0
603793,2,10,"Week day lunch,Weekend lunch",20,the avengers,water,"Parents,Friends,Teachers",A lot (hot),Shawarma,20.0
603933,4,6-10 ingredients,At a party,15 dollars,The Avengers,sprite,Strangers,,Shawarma,15.0
605519,3,8,"Week day lunch,Weekend lunch,Late night snack",8 dollars,The mummy,Water,"Parents,Siblings,Strangers",A lot (hot),Shawarma,8.0
524803,3,4 or more,"Week day lunch,Week day dinner,Late night snack",$7.00+,The Dictator,Beer,"Friends,Strangers",A little (mild),Shawarma,7.0
629712,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Taxi Driver,Nestea,"Siblings,Friends",A little (mild),Shawarma,14.0
627505,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$8.00 ,The Dictator,Water,Friends,A little (mild),Shawarma,8.0
526131,5,"I would expect it to have:

* A wrap

* Lettuce

* Beef or Chicken

* Sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay about $8 for one serving. This is based on how much I usually have to pay.,"I've never had them before attending U of T, so I don't associate them with anything.","I would pair it with water, since they often have a lot of fat and I wouldn't want to also take soft drinks on top of it.","Friends,Strangers",A moderate amount (medium),Shawarma,8.0
607065,3,7,"Week day lunch,Week day dinner,Weekend lunch",12,Avengers,Iced Tea,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma,12.0
500077,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,none,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,10.0
633350,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$11.50 ,The Avengers,"Gingerale

 ","Siblings,Friends",A little (mild),Shawarma,11.5
601945,2,6,"Week day lunch,Week day dinner,Late night snack",6 CAD,Deadpool & Wolverine,Diet coke,"Friends,Strangers",A moderate amount (medium),Shawarma,6.0
629878,4,5 to 6,"Week day lunch,Week day dinner",$8 to $10,Not sure,Water,"Friends,Teachers,Strangers",A little (mild),Shawarma,9.0
712766,4,Minimum of 10 ingredients,"Week day lunch,Weekend lunch,Late night snack",Around 10-20 dollars for one portion,The Avengers,Water,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma,15.0
603664,2,8,Week day lunch,16,The Avengers,water,Friends,,Shawarma,16.0
840827,4,4,Week day lunch,$10 ,Comedy movie,Water,Parents,,Shawarma,10.0
604897,2,6,"Week day lunch,Weekend lunch",13,The Avengers,Lemonade,Friends,A lot (hot),Shawarma,13.0
525422,4,6,"Week day lunch,Week day dinner,Weekend lunch",8,Avengers,Water,"Parents,Siblings",A little (mild),Shawarma,8.0
602560,2,"I would expect good 7-8 ingredients including veggies, flour, meat and any sauces. ",Week day lunch,It should be cheap maybe at max 12 bucks. ,Probably some niche movie or some movie specific to a country and not an English movie. ,Never personally had shawarma but I'd expect to pair it up with maybe a lemonade or ice tea?,"Parents,Teachers",A lot (hot),Shawarma,12.0
738379,3,Around 8-10.,"Week day lunch,Week day dinner",$8-$12,Avengers,The Avengers,Friends,A moderate amount (medium),Shawarma,10.0
622023,5,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Avengers,Coke Zero,Friends,A lot (hot),Shawarma,10.0
604770,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,avengers,no drink,"Parents,Siblings,Friends",,Shawarma,11.0
608318,5,7-10,"Week day lunch,Weekend lunch",$10-15,You Don't Mess with the Zohan,Coke,"Parents,Siblings",A moderate amount (medium),Shawarma,12.5
626757,2,5,"Week day lunch,Late night snack",10 dollars,Avengers endgame,Pop,Friends,A lot (hot),Shawarma,10.0
745297,2,6,"Week day lunch,Weekend lunch",$9 ,Borat,Coke,"Friends,Strangers",A lot (hot),Shawarma,9.0
627599,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Avengers,Nestea,"Siblings,Friends",,Shawarma,7.0
520037,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Avengers,Pepsi,Friends,A moderate amount (medium),Shawarma,12.0
632189,3,6,"Week day lunch,Weekend lunch,Late night snack",5.99,Spider man spider verse,Water,Strangers,,Shawarma,5.99
627636,3,Minimum 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",Between $6 and $9,Pulp fiction,Water,Strangers,A moderate amount (medium),Shawarma,7.5
295428,2,"some type of meat, wheat flour, sauces, fries, veggie, pickles","Week day lunch,Late night snack",$8 ,squid game,soft drink,"Siblings,Friends",A little (mild),Shawarma,8.0
228777,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,Star Wars,sprite ,Strangers,A little (mild),Shawarma,8.0
609278,4,8,Week day lunch,$12 ,Aladdin,Sugarcane juice,Friends,,Shawarma,12.0
614089,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 CAD,The Avengers ,Coke,"Siblings,Friends",A moderate amount (medium),Shawarma,10.0
607517,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Avengers,Fruit Juice,Friends,A moderate amount (medium),Shawarma,14.0
714607,3,5,Week day lunch,$5 ,Alladin,Peach Green Tea,"Friends,Teachers",A little (mild),Shawarma,5.0
716650,1,I would expect a lot of ingredients for this food item. The wrap and the fillings combined would total around 10 ingredients.,Week day lunch,I would expect to pay around $7 to $8 dollars for one serving of this food item at the food trucks.,The only movie that is associated with this food item would be the first Avengers due to the post credit scene.,I would pair this item with a ginger ale because that is the most frequent drink purchased with this food item.,Strangers,A lot (hot),Shawarma,7.5
497695,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Gladiator,Water,"Friends,Strangers",A moderate amount (medium),Shawarma,12.0
496858,4,"I expect this food item to contain around 12 ingredients: the flatbread, around 5-6 veggies like tomatoes, lettuce, pickled beetroot, cucumber, pickles, carrots. Some meat, some cheese like feta, and lastly the sauces: hotsauce, garlic sauce (toum), hummus, and tzatziki. ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay around $8-10. ,The Avengers movie when they eat shawarma in the end credits scene!,Maybe some mango lassi,Friends,A moderate amount (medium),Shawarma,9.0
608688,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma,10.0
604386,2,4,"Week day lunch,Weekend lunch",10,Avengers,water,Strangers,A little (mild),Shawarma,10.0
628559,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,Iron Man,Soda,Strangers,A little (mild),Shawarma,8.0
715152,2,9,"Week day dinner,Weekend dinner,Late night snack",15$,Any bollywood movie,I usually like water,Friends,,Shawarma,15.0
604110,3,4,"Week day lunch,Week day dinner,Late night snack",10,The Avengers,Sprite,Friends,,Shawarma,10.0
629010,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9 ,The Avengers,Water,"Parents,Strangers",A moderate amount (medium),Shawarma,9.0
605254,3,10,"Week day lunch,Weekend lunch,Late night snack",9,,Diet Coke,Friends,A little (mild),Shawarma,9.0
628990,3,6,"Week day lunch,Weekend lunch,At a party",$11 ,,Soda,"Parents,Siblings",,Shawarma,11.0
625295,4,7,"Week day lunch,Weekend lunch",$6.00 ,None in particular,Pop,Friends,,Shawarma,6.0
603415,2,8-12,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$7-10,Scott Pilgrim vs. the World,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma,8.5
635533,1,5,Week day lunch,10,Son of Babylon,Coke,Strangers,A moderate amount (medium),Shawarma,10.0
630389,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",17,Avengers 1,Coke,Friends,A moderate amount (medium),Shawarma,17.0
714901,4,Six.,"Week day lunch,Weekend lunch",I would pay $12.,The Avengers,Pepsi or Coca Cola,Friends,A little (mild),Shawarma,12.0
629792,2,"7: wrap, protein/falafel, lettuce, tomato, cucumber, onion, sauce","Week day lunch,Weekend lunch",$10 ,avengers,pop,"Parents,Friends",A little (mild),Shawarma,10.0
629025,3,6-9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,The Avengers,Pepsi,Strangers,A moderate amount (medium),Shawarma,20.0
524441,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,Avengers,Pepsi,Strangers,A little (mild),Shawarma,10.0
389109,2,5,Week day lunch,20,"Cloudy With a Chance of Meatballs again? (Shawarmas don't appear in that though, but hey it's food)","Ayran Yogurt (actually I don't drink this after having tried it twice, but if we're talking about what I'd canonically pair it with). If we're talking about what I'd actually drink and pair it with, then just water",Strangers,,Shawarma,20.0
631216,3,8,Week day lunch,10,Avengers,lemonade,Friends,A little (mild),Shawarma,10.0
738875,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,Deadpool & Wolverine,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma,10.0
634669,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$16.99 ,The Avengers,Wine,Strangers,A moderate amount (medium),Shawarma,16.99
409940,2,5,Week day lunch,10$,avengers,diet coke,Friends,A little (mild),Shawarma,10.0
399605,3,6,"Week day lunch,Weekend lunch",7,avengers,coke,Friends,,Shawarma,7.0
721831,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,Bad Boys,Fanta,Friends,A lot (hot),Shawarma,11.0
835223,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,-,Coke,Friends,A lot (hot),Shawarma,12.0
712938,4,10,"Week day lunch,Weekend lunch,At a party",10,3 Idiots,Fanta,Friends,A lot (hot),Shawarma,10.0
395712,4,2 ingredients ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 - 15$,Avengers,"Pop, Coca-Cola, 7up, crush ","Parents,Siblings",A little (mild),Shawarma,12.5
603388,2,about 8,Week day lunch,13 cad,The Avengers,Coke,Strangers,A little (mild),Shawarma,13.0
617774,4,5-10,"Week day lunch,Week day dinner",7.99-15.99,The social network,Water,"Friends,Strangers",,Shawarma,11.99
289440,4,5,"Week day lunch,Week day dinner",7,The Avengers  ,coke,"Friends,Strangers",A moderate amount (medium),Shawarma,7.0
714503,2,3 to 4,"Week day lunch,Weekend lunch,Late night snack",10,documenary,cola,"Siblings,Friends,Strangers",A little (mild),Shawarma,10.0
714893,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10.00 ,Avengers,Coke,Friends,A moderate amount (medium),Shawarma,10.0
601094,3,"12 (chicken/beef, flatbread, onion, pepper, pickle, sauce, spices for marinade)","Week day lunch,Weekend dinner,Late night snack",$7.50 ,The Avengers,ice tea,Friends,A little (mild),Shawarma,7.5
618150,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9 ,,Diet Coke,"Parents,Siblings,Strangers",A lot (hot),Shawarma,9.0
607944,5,7,"Week day lunch,Week day dinner",10,chef,Juice,Friends,A moderate amount (medium),Shawarma,10.0
629844,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,Minions,Orange juice,"Friends,Strangers",A little (mild),Shawarma,7.0
626482,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,The Big Sick,Sprite,"Parents,Siblings",A little (mild),Shawarma,9.0
609257,4,10,"Week day dinner,Weekend dinner,Late night snack",14$,Jurassic Park,Water,"Friends,Strangers",A little (mild),Shawarma,14.0
717921,4,20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,Wicked,Sparkling water,Friends,A moderate amount (medium),Shawarma,13.0
181851,3,7,Week day lunch,8,,water,"Friends,Strangers",A lot (hot),Shawarma,8.0
629041,2,6,Week day lunch,9 dollars,Aladdin,Iced tea,Friends,A little (mild),Shawarma,9.0
604062,3,Six to seven.,"Week day lunch,Weekend lunch,Late night snack",$6 ,Marvel's Avengers,Coke/Coke Zero,"Friends,Strangers",A moderate amount (medium),Shawarma,6.0
716749,3,7,"Week day lunch,Weekend lunch",10-15 dollar,no,water or lemon water,Friends,A moderate amount (medium),Shawarma,12.5
633143,4,Around 8-10 ingredients,"Week day lunch,Weekend lunch,Late night snack",Around $8,The Avengers 1,Soft drinks such as Coca-Cola,Friends,A little (mild),Shawarma,8.0
743828,5,8,"Week day lunch,Weekend lunch,Late night snack",12,Avengers,Mango Juice,"Siblings,Friends,Strangers",A lot (hot),Shawarma,12.0
520861,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,,Soda,Strangers,A moderate amount (medium),Shawarma,10.0
517019,4,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,Avengers,pop,Friends,A moderate amount (medium),Shawarma,11.0
626779,4,"meat, pita, onions","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15$,i dont know,water,Strangers,A moderate amount (medium),Shawarma,15.0
611716,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,The Avenger,coke,Siblings,A little (mild),Shawarma,7.0
193195,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$15 ,Avengers,Soda,"Friends,Strangers",A lot (hot),Shawarma,15.0
627530,4,8,"Week day lunch,Weekend lunch,At a party",$10 ,Arcane,Ginger Ale,Friends,I will have some of this food item with my hot sauce,Shawarma,10.0
626479,4,Around 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,Avengers because of Iron Man asking everyone to get shawarma after the fight,Some type of soda,Friends,A moderate amount (medium),Shawarma,8.0
624540,4,"5, 

lettuce, 

chicken

powder",Week day lunch,7 for 2,Bahen,crush/cola,Friends,A moderate amount (medium),Shawarma,4.5
625315,3,6-9,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$12 ,The Avengers,Soft drink,"Parents,Siblings,Friends",A lot (hot),Shawarma,12.0
601941,2,6,Week day lunch,14 dollar without tax,"none, only thing I know about it is the game, shawarma legend.",cococola,Friends,A lot (hot),Shawarma,14.0
723968,2,25 ingredients,"Week day lunch,Week day dinner",within 10 dollors,Legend of Shawama,Nestea,Friends,,Shawarma,10.0
715806,3,5,"Week day lunch,Weekend lunch,Late night snack",10,Aladdin,sprite,Strangers,,Shawarma,10.0
720045,2,8,"Week day lunch,Week day dinner",6,Avengers,Water,Strangers,A lot (hot),Shawarma,6.0
713585,3,5,Week day lunch,10,Idk,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma,10.0
611188,4,6,Week day lunch,7,The Mummy,Water,"Friends,Strangers",A moderate amount (medium),Shawarma,7.0
606726,2,7,"Week day lunch,Late night snack",8,The Kite Runner,Ayran,"Siblings,Friends",A little (mild),Shawarma,8.0
629142,4,I would expect this food item to contain around 10 ingredients.,Week day lunch,I would expect to pay around $10 for a single serving of this food item.,I think of the movie The Avengers.,I would pair pop with this food item.,"Friends,Strangers",A moderate amount (medium),Shawarma,10.0
634825,4,10,Week day lunch,$10 ,Marvel Avengers,Soda,Friends,A lot (hot),Shawarma,10.0
613409,5,"Rice, Beef, Spice, Onion, Tomato, Lettuce. Total of 6",Week day lunch,14,Forest Gump,Coke-Cola,Strangers,,Shawarma,14.0
633224,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4.00 ,John Wick,Water,"Friends,Strangers",A little (mild),Shawarma,4.0
738850,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Water,"Parents,Strangers",A lot (hot),Shawarma,10.0
500470,4,At least 5,"Week day lunch,Weekend lunch,Late night snack",8.50 CAD,Avengers,Soda,Friends,A little (mild),Shawarma,8.5
13183,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Aladdin,diet coke,Strangers,A little (mild),Shawarma,10.0
627169,1,8,"Week day lunch,Weekend lunch,Late night snack",$8 ,Ratatouille,Sprite,"Friends,Teachers",A little (mild),Shawarma,8.0
229041,4,7,Week day lunch,5-10 dollars,Avengers ,pepsi,Friends,A little (mild),Shawarma,7.5
496344,5,3,Week day lunch,8,Avengers,Jarritos,"Siblings,Friends",A little (mild),Shawarma,8.0
409723,3,15,"Week day lunch,Week day dinner,Weekend lunch",10,The Avengers,Lassi,Friends,A little (mild),Shawarma,10.0
630949,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,Star Wars,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma,7.0
413014,2,"7-10, depending on how many veggies you want inside","Week day lunch,Weekend lunch",7-10$ for one shawarma,"I think of movies that take place in Toronto since it's so common here, such as Scott Pilgrim vs The World",A fruit juice such as orange juice,"Friends,Strangers",A little (mild),Shawarma,8.5
310438,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers ,Water,"Parents,Siblings",A lot (hot),Shawarma,10.0
627430,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,The avengers,Water,"Parents,Siblings",A lot (hot),Shawarma,8.0
526510,3,8,"Week day lunch,Week day dinner,Weekend lunch",10,,water,"Friends,Teachers",A moderate amount (medium),Shawarma,10.0
390823,2,5,"Week day lunch,Weekend lunch",$7 ,Scott Pilgrim,Nestea,"Friends,Strangers",A moderate amount (medium),Shawarma,7.0
717116,3,3-5,"Week day lunch,Week day dinner",~$15,The Avengers,carbonated drinks,Strangers,A moderate amount (medium),Shawarma,15.0
712143,2,8,"Weekend dinner,Late night snack",18,"Shawarma Legend
---------------",cola,Friends,A moderate amount (medium),Shawarma,18.0
612538,4,10,"Week day lunch,Late night snack",$5 ,Avengers,water,"Friends,Teachers",A lot (hot),Shawarma,5.0
627539,4,6,"Week day lunch,Weekend lunch",10$,Rush Hour,Sprite,Teachers,A little (mild),Shawarma,10.0
603812,3,7,Week day lunch,7 Bucks,Good Will Hunting,Root Beer,"Friends,Strangers",A little (mild),Shawarma,7.0
740568,2,6,"Week day lunch,Weekend lunch",$8 ,Fight Club,Water,Friends,A little (mild),Shawarma,8.0
712702,4,4,Week day dinner,10,Shawarma Bowl,pineapple juice,Friends,A little (mild),Shawarma,10.0
519638,4,"7 - Pita Bread, Chicken, Lettuce, Pickle, Onion, Rice, Shawarma Sauce","Week day lunch,Week day dinner,Late night snack",$7.25 for one wrap,Drive,Water,"Friends,Strangers",A moderate amount (medium),Shawarma,7.25
627800,3,6-7,"Week day lunch,Weekend lunch,Late night snack",8-12 dollars,Avengers ,"Water, Soda","Teachers,Strangers",A little (mild),Shawarma,10.0
406863,4,8,"Week day lunch,Weekend lunch",10,Lion King,Coke,Friends,A moderate amount (medium),Shawarma,10.0
726962,2,8,"Week day dinner,Weekend dinner",20,Captain of America,Water,Friends,A little (mild),Shawarma,20.0
628077,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",12,The Avengers,Water,"Friends,Strangers",A moderate amount (medium),Shawarma,12.0
601693,3,7 (if we're talking about a shawarma wrap),"Week day lunch,Weekend lunch",$7 ,The Avengers,Water,"Friends,Strangers",A little (mild),Shawarma,7.0
517096,4,8 to 10,"Week day lunch,Weekend lunch,Late night snack",$7 to $10,The Avengers,Nestea,Friends,A moderate amount (medium),Shawarma,8.5
606821,2,8,"Week day lunch,Weekend lunch,Late night snack",$5 ,Avengers,Water,Friends,A moderate amount (medium),Shawarma,5.0
455047,2,4,"Week day lunch,Weekend lunch",8,,"juice, water or coke",Friends,A moderate amount (medium),Shawarma,8.0
625576,4,12,"Week day lunch,Late night snack",10,The Avengers,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma,10.0
716549,2,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Spirited Away,Miso soup,Friends,A little (mild),Sushi,15.0
715742,3,"紫菜，米饭

rice, vege

salmon","Weekend dinner,At a party",6$ a pack,Japanese movies,Miso Soup,Friends,,Sushi,6.0
727333,2,4,At a party,5dollar,cartoon movie,cola,Parents,A little (mild),Sushi,5.0
606874,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Johnny English,Water,Parents,,Sushi,15.0
505318,5,3-10,"Week day lunch,Weekend lunch,Weekend dinner",$8 ,Karate Kid,Water,"Siblings,Friends",A moderate amount (medium),Sushi,8.0
605771,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,,,"Siblings,Friends",,Sushi,15.0
606929,3,about 5,Weekend lunch,10 dollor,drange,coke,Friends,A moderate amount (medium),Sushi,10.0
609789,2,3,"Week day dinner,Weekend dinner",30 dollar,The Truman Show,ice tea,Friends,A lot (hot),Sushi,30.0
644623,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15-30 dollars,,,"Parents,Friends",,Sushi,22.5
626792,4,10,Week day lunch,12,Kung fu panda,tea,"Friends,Strangers",A moderate amount (medium),Sushi,12.0
714863,2,4,"Week day lunch,Weekend lunch,Late night snack",20,none,tea,Siblings,,Sushi,20.0
602805,5,11,"Week day dinner,Weekend dinner",16 Canadian Dollars,The Wolverine,Coca Cola,Friends,,Sushi,16.0
602526,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$9 ,Spirited Away,soju,"Parents,Siblings,Friends",A little (mild),Sushi,9.0
497421,1,"Around 4, such as rice, meat, vegetables, seafood.","Weekend lunch,Weekend dinner",30-100 CAD,Jiro Dreams of Sushi,Oolong tea,"Parents,Siblings,Friends",,Sushi,65.0
389328,4,4,"Week day lunch,Week day dinner,Weekend lunch",$15 ,Kill Bill,Sake,Teachers,A moderate amount (medium),Sushi,15.0
289931,5,"5: Seaweed, Rice, Fish, Wasabi, Soy Sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Finding Nemo,green tea,"Parents,Friends",,Sushi,20.0
620148,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,Your Name,Tea,"Parents,Friends",A moderate amount (medium),Sushi,12.0
387155,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,Once Upon a Time... in Hollywood,water,"Parents,Siblings,Friends,Strangers",,Sushi,16.0
