id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
389697,2,10.0,"Week day lunch,Weekend lunch",8,None,"Water

Fruit juice/smoothie

Sparkling water

Soft drinks",Friends,A little (mild),Shawarma
714430,3,10.0,Week day dinner,15 dollars,spiderman,orange juice,Parents,A little (mild),Shawarma
612567,2,4.0,Week day lunch,$6 ,Dune,Juice,Strangers,None,Shawarma
744468,3,5.0,"Week day lunch,Week day dinner,Weekend lunch",$5 ,Avengers,Orange Fanta,"Parents,Siblings",None,Shawarma
502722,2,7.0,"Week day lunch,Weekend lunch",In Toronto around $7-8 per shawarma.,Advengers 2012 Movie,Water or sprite,"Siblings,Friends",A moderate amount (medium),Shawarma
519681,4,20.0,"Week day lunch,Weekend lunch",10,Parasite,Diet Coke,Strangers,A moderate amount (medium),Shawarma
631125,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Coke,Parents,A moderate amount (medium),Shawarma
606119,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13 ,Borat,Coke,"Friends,Strangers",A little (mild),Shawarma
627252,4,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,None come to mind,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
616568,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15 dollars,i dont know,soda,Friends,A moderate amount (medium),Shawarma
603838,3,10.0,"Week day lunch,Week day dinner",6,The Avengers,Lemonade,Friends,A little (mild),Shawarma
719735,5,1.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,None,Water,"Friends,Teachers,Strangers",A lot (hot),Shawarma
608062,3,7.0,Week day lunch,$12 ,Batman the dark knight ,Mango juice,Friends,A moderate amount (medium),Shawarma
608704,5,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Coke,Friends,A lot (hot),Shawarma
520383,3,6.0,"Week day lunch,Week day dinner,Weekend lunch",$11 ,I don't think of a movie when thinking of this food item,Water,"Friends,Strangers",A lot (hot),Shawarma
603793,2,10.0,"Week day lunch,Weekend lunch",20,the avengers,water,"Parents,Friends,Teachers",A lot (hot),Shawarma
603933,4,6.0,At a party,15 dollars,The Avengers,sprite,Strangers,None,Shawarma
605519,3,8.0,"Week day lunch,Weekend lunch,Late night snack",8 dollars,The mummy,Water,"Parents,Siblings,Strangers",A lot (hot),Shawarma
524803,3,4.0,"Week day lunch,Week day dinner,Late night snack",$7.00+,The Dictator,Beer,"Friends,Strangers",A little (mild),Shawarma
629712,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Taxi Driver,Nestea,"Siblings,Friends",A little (mild),Shawarma
627505,4,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$8.00 ,The Dictator,Water,Friends,A little (mild),Shawarma
526131,5,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay about $8 for one serving. This is based on how much I usually have to pay.,"I've never had them before attending U of T, so I don't associate them with anything.","I would pair it with water, since they often have a lot of fat and I wouldn't want to also take soft drinks on top of it.","Friends,Strangers",A moderate amount (medium),Shawarma
607065,3,7.0,"Week day lunch,Week day dinner,Weekend lunch",12,Avengers,Iced Tea,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma
500077,3,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,none,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
633350,3,12.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$11.50 ,The Avengers,"Gingerale

 ","Siblings,Friends",A little (mild),Shawarma
601945,2,6.0,"Week day lunch,Week day dinner,Late night snack",6 CAD,Deadpool & Wolverine,Diet coke,"Friends,Strangers",A moderate amount (medium),Shawarma
629878,4,5.0,"Week day lunch,Week day dinner",$8 to $10,Not sure,Water,"Friends,Teachers,Strangers",A little (mild),Shawarma
712766,4,10.0,"Week day lunch,Weekend lunch,Late night snack",Around 10-20 dollars for one portion,The Avengers,Water,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma
603664,2,8.0,Week day lunch,16,The Avengers,water,Friends,None,Shawarma
840827,4,4.0,Week day lunch,$10 ,Comedy movie,Water,Parents,None,Shawarma
604897,2,6.0,"Week day lunch,Weekend lunch",13,The Avengers,Lemonade,Friends,A lot (hot),Shawarma
525422,4,6.0,"Week day lunch,Week day dinner,Weekend lunch",8,Avengers,Water,"Parents,Siblings",A little (mild),Shawarma
602560,2,7.0,Week day lunch,It should be cheap maybe at max 12 bucks. ,Probably some niche movie or some movie specific to a country and not an English movie. ,Never personally had shawarma but I'd expect to pair it up with maybe a lemonade or ice tea?,"Parents,Teachers",A lot (hot),Shawarma
738379,3,8.0,"Week day lunch,Week day dinner",$8-$12,Avengers,The Avengers,Friends,A moderate amount (medium),Shawarma
622023,5,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Avengers,Coke Zero,Friends,A lot (hot),Shawarma
604770,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,avengers,no drink,"Parents,Siblings,Friends",None,Shawarma
608318,5,10.0,"Week day lunch,Weekend lunch",$10-15,You Don't Mess with the Zohan,Coke,"Parents,Siblings",A moderate amount (medium),Shawarma
626757,2,5.0,"Week day lunch,Late night snack",10 dollars,Avengers endgame,Pop,Friends,A lot (hot),Shawarma
745297,2,6.0,"Week day lunch,Weekend lunch",$9 ,Borat,Coke,"Friends,Strangers",A lot (hot),Shawarma
627599,5,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Avengers,Nestea,"Siblings,Friends",None,Shawarma
520037,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Avengers,Pepsi,Friends,A moderate amount (medium),Shawarma
632189,3,6.0,"Week day lunch,Weekend lunch,Late night snack",5.99,Spider man spider verse,Water,Strangers,None,Shawarma
627636,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",Between $6 and $9,Pulp fiction,Water,Strangers,A moderate amount (medium),Shawarma
295428,2,6.0,"Week day lunch,Late night snack",$8 ,squid game,soft drink,"Siblings,Friends",A little (mild),Shawarma
228777,4,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,Star Wars,sprite ,Strangers,A little (mild),Shawarma
609278,4,8.0,Week day lunch,$12 ,Aladdin,Sugarcane juice,Friends,None,Shawarma
614089,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 CAD,The Avengers ,Coke,"Siblings,Friends",A moderate amount (medium),Shawarma
607517,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Avengers,Fruit Juice,Friends,A moderate amount (medium),Shawarma
714607,3,5.0,Week day lunch,$5 ,Alladin,Peach Green Tea,"Friends,Teachers",A little (mild),Shawarma
716650,1,10.0,Week day lunch,I would expect to pay around $7 to $8 dollars for one serving of this food item at the food trucks.,The only movie that is associated with this food item would be the first Avengers due to the post credit scene.,I would pair this item with a ginger ale because that is the most frequent drink purchased with this food item.,Strangers,A lot (hot),Shawarma
497695,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Gladiator,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
496858,4,12.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay around $8-10. ,The Avengers movie when they eat shawarma in the end credits scene!,Maybe some mango lassi,Friends,A moderate amount (medium),Shawarma
608688,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
604386,2,4.0,"Week day lunch,Weekend lunch",10,Avengers,water,Strangers,A little (mild),Shawarma
628559,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,Iron Man,Soda,Strangers,A little (mild),Shawarma
715152,2,9.0,"Week day dinner,Weekend dinner,Late night snack",15$,Any bollywood movie,I usually like water,Friends,None,Shawarma
604110,3,4.0,"Week day lunch,Week day dinner,Late night snack",10,The Avengers,Sprite,Friends,None,Shawarma
629010,4,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9 ,The Avengers,Water,"Parents,Strangers",A moderate amount (medium),Shawarma
605254,3,10.0,"Week day lunch,Weekend lunch,Late night snack",9,None,Diet Coke,Friends,A little (mild),Shawarma
628990,3,6.0,"Week day lunch,Weekend lunch,At a party",$11 ,None,Soda,"Parents,Siblings",None,Shawarma
625295,4,7.0,"Week day lunch,Weekend lunch",$6.00 ,None in particular,Pop,Friends,None,Shawarma
603415,2,12.0,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$7-10,Scott Pilgrim vs. the World,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma
635533,1,5.0,Week day lunch,10,Son of Babylon,Coke,Strangers,A moderate amount (medium),Shawarma
630389,5,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",17,Avengers 1,Coke,Friends,A moderate amount (medium),Shawarma
714901,4,6.0,"Week day lunch,Weekend lunch",I would pay $12.,The Avengers,Pepsi or Coca Cola,Friends,A little (mild),Shawarma
629792,2,7.0,"Week day lunch,Weekend lunch",$10 ,avengers,pop,"Parents,Friends",A little (mild),Shawarma
629025,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,The Avengers,Pepsi,Strangers,A moderate amount (medium),Shawarma
524441,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,Avengers,Pepsi,Strangers,A little (mild),Shawarma
389109,2,5.0,Week day lunch,20,"Cloudy With a Chance of Meatballs again? (Shawarmas don't appear in that though, but hey it's food)","Ayran Yogurt (actually I don't drink this after having tried it twice, but if we're talking about what I'd canonically pair it with). If we're talking about what I'd actually drink and pair it with, then just water",Strangers,None,Shawarma
631216,3,8.0,Week day lunch,10,Avengers,lemonade,Friends,A little (mild),Shawarma
738875,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,Deadpool & Wolverine,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
634669,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$16.99 ,The Avengers,Wine,Strangers,A moderate amount (medium),Shawarma
409940,2,5.0,Week day lunch,10$,avengers,diet coke,Friends,A little (mild),Shawarma
399605,3,6.0,"Week day lunch,Weekend lunch",7,avengers,coke,Friends,None,Shawarma
721831,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,Bad Boys,Fanta,Friends,A lot (hot),Shawarma
835223,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,-,Coke,Friends,A lot (hot),Shawarma
712938,4,10.0,"Week day lunch,Weekend lunch,At a party",10,3 Idiots,Fanta,Friends,A lot (hot),Shawarma
395712,4,2.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 - 15$,Avengers,"Pop, Coca-Cola, 7up, crush ","Parents,Siblings",A little (mild),Shawarma
603388,2,8.0,Week day lunch,13 cad,The Avengers,Coke,Strangers,A little (mild),Shawarma
617774,4,10.0,"Week day lunch,Week day dinner",7.99-15.99,The social network,Water,"Friends,Strangers",None,Shawarma
289440,4,5.0,"Week day lunch,Week day dinner",7,The Avengers  ,coke,"Friends,Strangers",A moderate amount (medium),Shawarma
714503,2,3.0,"Week day lunch,Weekend lunch,Late night snack",10,documenary,cola,"Siblings,Friends,Strangers",A little (mild),Shawarma
714893,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10.00 ,Avengers,Coke,Friends,A moderate amount (medium),Shawarma
601094,3,12.0,"Week day lunch,Weekend dinner,Late night snack",$7.50 ,The Avengers,ice tea,Friends,A little (mild),Shawarma
618150,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9 ,None,Diet Coke,"Parents,Siblings,Strangers",A lot (hot),Shawarma
607944,5,7.0,"Week day lunch,Week day dinner",10,chef,Juice,Friends,A moderate amount (medium),Shawarma
629844,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,Minions,Orange juice,"Friends,Strangers",A little (mild),Shawarma
626482,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,The Big Sick,Sprite,"Parents,Siblings",A little (mild),Shawarma
609257,4,10.0,"Week day dinner,Weekend dinner,Late night snack",14$,Jurassic Park,Water,"Friends,Strangers",A little (mild),Shawarma
717921,4,20.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,Wicked,Sparkling water,Friends,A moderate amount (medium),Shawarma
181851,3,7.0,Week day lunch,8,None,water,"Friends,Strangers",A lot (hot),Shawarma
629041,2,6.0,Week day lunch,9 dollars,Aladdin,Iced tea,Friends,A little (mild),Shawarma
604062,3,6.0,"Week day lunch,Weekend lunch,Late night snack",$6 ,Marvel's Avengers,Coke/Coke Zero,"Friends,Strangers",A moderate amount (medium),Shawarma
716749,3,7.0,"Week day lunch,Weekend lunch",10-15 dollar,no,water or lemon water,Friends,A moderate amount (medium),Shawarma
633143,4,8.0,"Week day lunch,Weekend lunch,Late night snack",Around $8,The Avengers 1,Soft drinks such as Coca-Cola,Friends,A little (mild),Shawarma
743828,5,8.0,"Week day lunch,Weekend lunch,Late night snack",12,Avengers,Mango Juice,"Siblings,Friends,Strangers",A lot (hot),Shawarma
520861,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,None,Soda,Strangers,A moderate amount (medium),Shawarma
517019,4,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,Avengers,pop,Friends,A moderate amount (medium),Shawarma
626779,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15$,i dont know,water,Strangers,A moderate amount (medium),Shawarma
611716,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,The Avenger,coke,Siblings,A little (mild),Shawarma
193195,4,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$15 ,Avengers,Soda,"Friends,Strangers",A lot (hot),Shawarma
627530,4,8.0,"Week day lunch,Weekend lunch,At a party",$10 ,Arcane,Ginger Ale,Friends,I will have some of this food item with my hot sauce,Shawarma
626479,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,Avengers because of Iron Man asking everyone to get shawarma after the fight,Some type of soda,Friends,A moderate amount (medium),Shawarma
624540,4,5.0,Week day lunch,7 for 2,Bahen,crush/cola,Friends,A moderate amount (medium),Shawarma
625315,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$12 ,The Avengers,Soft drink,"Parents,Siblings,Friends",A lot (hot),Shawarma
601941,2,6.0,Week day lunch,14 dollar without tax,"none, only thing I know about it is the game, shawarma legend.",cococola,Friends,A lot (hot),Shawarma
723968,2,25.0,"Week day lunch,Week day dinner",within 10 dollors,Legend of Shawama,Nestea,Friends,None,Shawarma
715806,3,5.0,"Week day lunch,Weekend lunch,Late night snack",10,Aladdin,sprite,Strangers,None,Shawarma
720045,2,8.0,"Week day lunch,Week day dinner",6,Avengers,Water,Strangers,A lot (hot),Shawarma
713585,3,5.0,Week day lunch,10,Idk,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma
611188,4,6.0,Week day lunch,7,The Mummy,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
606726,2,7.0,"Week day lunch,Late night snack",8,The Kite Runner,Ayran,"Siblings,Friends",A little (mild),Shawarma
629142,4,10.0,Week day lunch,I would expect to pay around $10 for a single serving of this food item.,I think of the movie The Avengers.,I would pair pop with this food item.,"Friends,Strangers",A moderate amount (medium),Shawarma
634825,4,10.0,Week day lunch,$10 ,Marvel Avengers,Soda,Friends,A lot (hot),Shawarma
613409,5,6.0,Week day lunch,14,Forest Gump,Coke-Cola,Strangers,None,Shawarma
633224,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4.00 ,John Wick,Water,"Friends,Strangers",A little (mild),Shawarma
738850,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Water,"Parents,Strangers",A lot (hot),Shawarma
500470,4,5.0,"Week day lunch,Weekend lunch,Late night snack",8.50 CAD,Avengers,Soda,Friends,A little (mild),Shawarma
13183,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Aladdin,diet coke,Strangers,A little (mild),Shawarma
627169,1,8.0,"Week day lunch,Weekend lunch,Late night snack",$8 ,Ratatouille,Sprite,"Friends,Teachers",A little (mild),Shawarma
229041,4,7.0,Week day lunch,5-10 dollars,Avengers ,pepsi,Friends,A little (mild),Shawarma
496344,5,3.0,Week day lunch,8,Avengers,Jarritos,"Siblings,Friends",A little (mild),Shawarma
409723,3,15.0,"Week day lunch,Week day dinner,Weekend lunch",10,The Avengers,Lassi,Friends,A little (mild),Shawarma
630949,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,Star Wars,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
413014,2,7.0,"Week day lunch,Weekend lunch",7-10$ for one shawarma,"I think of movies that take place in Toronto since it's so common here, such as Scott Pilgrim vs The World",A fruit juice such as orange juice,"Friends,Strangers",A little (mild),Shawarma
310438,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers ,Water,"Parents,Siblings",A lot (hot),Shawarma
627430,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,The avengers,Water,"Parents,Siblings",A lot (hot),Shawarma
526510,3,8.0,"Week day lunch,Week day dinner,Weekend lunch",10,None,water,"Friends,Teachers",A moderate amount (medium),Shawarma
390823,2,5.0,"Week day lunch,Weekend lunch",$7 ,Scott Pilgrim,Nestea,"Friends,Strangers",A moderate amount (medium),Shawarma
717116,3,5.0,"Week day lunch,Week day dinner",~$15,The Avengers,carbonated drinks,Strangers,A moderate amount (medium),Shawarma
712143,2,8.0,"Weekend dinner,Late night snack",18,"Shawarma Legend
---------------",cola,Friends,A moderate amount (medium),Shawarma
612538,4,10.0,"Week day lunch,Late night snack",$5 ,Avengers,water,"Friends,Teachers",A lot (hot),Shawarma
627539,4,6.0,"Week day lunch,Weekend lunch",10$,Rush Hour,Sprite,Teachers,A little (mild),Shawarma
603812,3,7.0,Week day lunch,7 Bucks,Good Will Hunting,Root Beer,"Friends,Strangers",A little (mild),Shawarma
740568,2,6.0,"Week day lunch,Weekend lunch",$8 ,Fight Club,Water,Friends,A little (mild),Shawarma
712702,4,4.0,Week day dinner,10,Shawarma Bowl,pineapple juice,Friends,A little (mild),Shawarma
519638,4,7.0,"Week day lunch,Week day dinner,Late night snack",$7.25 for one wrap,Drive,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
627800,3,7.0,"Week day lunch,Weekend lunch,Late night snack",8-12 dollars,Avengers ,"Water, Soda","Teachers,Strangers",A little (mild),Shawarma
406863,4,8.0,"Week day lunch,Weekend lunch",10,Lion King,Coke,Friends,A moderate amount (medium),Shawarma
726962,2,8.0,"Week day dinner,Weekend dinner",20,Captain of America,Water,Friends,A little (mild),Shawarma
628077,4,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",12,The Avengers,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
601693,3,7.0,"Week day lunch,Weekend lunch",$7 ,The Avengers,Water,"Friends,Strangers",A little (mild),Shawarma
517096,4,8.0,"Week day lunch,Weekend lunch,Late night snack",$7 to $10,The Avengers,Nestea,Friends,A moderate amount (medium),Shawarma
606821,2,8.0,"Week day lunch,Weekend lunch,Late night snack",$5 ,Avengers,Water,Friends,A moderate amount (medium),Shawarma
455047,2,4.0,"Week day lunch,Weekend lunch",8,None,"juice, water or coke",Friends,A moderate amount (medium),Shawarma
625576,4,12.0,"Week day lunch,Late night snack",10,The Avengers,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
716549,2,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Spirited Away,Miso soup,Friends,A little (mild),Sushi
715742,3,2.0,"Weekend dinner,At a party",6$ a pack,Japanese movies,Miso Soup,Friends,None,Sushi
727333,2,4.0,At a party,5dollar,cartoon movie,cola,Parents,A little (mild),Sushi
606874,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Johnny English,Water,Parents,None,Sushi
505318,5,10.0,"Week day lunch,Weekend lunch,Weekend dinner",$8 ,Karate Kid,Water,"Siblings,Friends",A moderate amount (medium),Sushi
605771,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,None,None,"Siblings,Friends",None,Sushi
606929,3,5.0,Weekend lunch,10 dollor,drange,coke,Friends,A moderate amount (medium),Sushi
609789,2,3.0,"Week day dinner,Weekend dinner",30 dollar,The Truman Show,ice tea,Friends,A lot (hot),Sushi
644623,5,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15-30 dollars,None,None,"Parents,Friends",None,Sushi
626792,4,10.0,Week day lunch,12,Kung fu panda,tea,"Friends,Strangers",A moderate amount (medium),Sushi
714863,2,4.0,"Week day lunch,Weekend lunch,Late night snack",20,none,tea,Siblings,None,Sushi
602805,5,11.0,"Week day dinner,Weekend dinner",16 Canadian Dollars,The Wolverine,Coca Cola,Friends,None,Sushi
602526,5,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$9 ,Spirited Away,soju,"Parents,Siblings,Friends",A little (mild),Sushi
497421,1,4.0,"Weekend lunch,Weekend dinner",30-100 CAD,Jiro Dreams of Sushi,Oolong tea,"Parents,Siblings,Friends",None,Sushi
389328,4,4.0,"Week day lunch,Week day dinner,Weekend lunch",$15 ,Kill Bill,Sake,Teachers,A moderate amount (medium),Sushi
289931,5,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Finding Nemo,green tea,"Parents,Friends",None,Sushi
620148,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,Your Name,Tea,"Parents,Friends",A moderate amount (medium),Sushi
387155,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,Once Upon a Time... in Hollywood,water,"Parents,Siblings,Friends,Strangers",None,Sushi
516975,5,10.0,"Weekend lunch,Weekend dinner,At a party",$13 - $20 sadly,The Lord of the Rings: The Fellowship of the Ring,Iced tea,"Parents,Siblings,Friends",None,Sushi
630825,2,4.0,"Weekend lunch,Weekend dinner,At a party",15 dollars,Transformer,Soup,Friends,None,Sushi
614043,5,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",23,Cars,Green tea,"Friends,Strangers",None,Sushi
521125,3,4.0,"Week day lunch,Weekend lunch,Weekend dinner,Late night snack",$5.00 ,Shark Tale,Root beer,"Siblings,Friends",None,Sushi
627780,3,2.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$50 ,Bullet Train ,Sake,"Parents,Friends",None,Sushi
492744,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Tokyo Story,Lemon water,"Siblings,Friends",A little (mild),Sushi
618747,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","Sushi can cost quite a lot sometimes if it is an omakase restaurant. For regular sushi, one box of sushi costs around $15.",Jiro Dreams of Sushi,"Sake, beer",Friends,None,Sushi
607815,2,3.0,"Week day dinner,Weekend dinner",20 CAD,Your Name,Sake,"Parents,Friends",None,Sushi
601609,5,10.0,"Week day lunch,Weekend lunch",15,Harry Potter,Diet Coke,"Parents,Friends",None,Sushi
602657,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",20,Jiro Dreams of Sushi,miso soup,"Parents,Friends",A moderate amount (medium),Sushi
616449,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,Isle of Dogs,Green tea,"Parents,Siblings",None,Sushi
501893,3,2.0,"Week day dinner,Weekend dinner",CAD15-20,"Little Forest, a Japanese film",tea,"Parents,Friends",A moderate amount (medium),Sushi
507448,3,2.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",30,Jiro Dreams of Sushi,Calpis,"Parents,Siblings",None,Sushi
606556,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 dollars,Doraemon,Miso Soup,"Parents,Siblings,Friends",None,Sushi
724326,4,5.0,"Weekend lunch,Weekend dinner,At a party",$16-18,"""Naruto""",Tea,"Siblings,Friends",A little (mild),Sushi
616945,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",5,rush hour,water,Siblings,None,Sushi
630962,2,2.0,"Week day lunch,Weekend lunch,At a party",18,Jaws,Water,"Friends,Strangers",None,Sushi
715814,1,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack","For a meal of sushi (like dinner), though I never had it at Toronto, I would expect to pay for around 40-50 CAD, and for each piece/plate, depending on the ingredients/number of sushi, it may cost 5-10 normally, and I think this is a fair price.",I might came up with some Japan related movies(like Jiro Dreams of Sushi - this is in fact a documentary)/cartoons(like 一休さん)/TV series (like The Solitary Gourmet).,"I would say some Japanese culture related drinks like their wines (e.g. beer, rice wine, etc.) and tea (green tea more if specifically).","Parents,Friends,Teachers",A moderate amount (medium),Sushi
502799,1,4.0,"Week day dinner,Weekend dinner",$10 ,Rush hour,Water,Friends,None,Sushi
605278,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The End of Evangelion,Tea,"Parents,Friends",None,Sushi
388888,5,5.0,"Week day dinner,Weekend dinner,At a party",20,Midnight Diner,Barley tea,"Parents,Friends,Teachers",None,Sushi
519548,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$20 ,Spirited Away,Sake,"Siblings,Friends,Strangers",None,Sushi
405521,5,2.0,"Week day dinner,Weekend dinner",18,anime,beer,"Parents,Siblings",None,Sushi
607410,2,3.0,At a party,$16 ,Crazy Rich Asians ,Water,Strangers,None,Sushi
715795,3,6.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$10 ,The Perfect Storm,Iced fruit punch juice,"Parents,Strangers",None,Sushi
625326,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$1 ,Anime,Soup,"Parents,Siblings,Friends",None,Sushi
627220,4,5.0,"Week day dinner,Weekend lunch,Weekend dinner",15 to 20 dollars,The Karate Kid,Water,"Parents,Siblings,Friends",None,Sushi
634964,2,2.0,"Weekend lunch,Weekend dinner",$20 ,John Wick,Water,Friends,None,Sushi
722500,2,3.0,"Week day lunch,Week day dinner,At a party",$1 ,Jiro Dreams of Sushi,apple juice,"Parents,Friends,Teachers",None,Sushi
602824,5,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10 dollars,The Pacific,tea,"Friends,Strangers",None,Sushi
